date,equity,regime
2024-02-12,102671.48,Bull-Trending
2024-02-13,102623.5,Bull-Trending
2024-02-14,102737.65,Bull-Trending
2024-02-15,102729.41,Bull-Trending
2024-02-16,102722.4,Bull-Trending
2024-02-20,102525.99,Bull-Trending
2024-02-21,102428.5,Bull-Trending
2024-02-22,103022.71,Bull-Trending
2024-02-23,103005.17,Bull-Trending
2024-02-26,103052.93,Bull-Trending
2024-02-27,103037.78,Bull-Trending
2024-02-28,102985.6,Bull-Trending
2024-02-29,103087.29,Bull-Trending
2024-03-01,103282.39,Bull-Trending
2024-03-04,103353.0,Bull-Trending
2024-03-05,103289.86,Bull-Trending
2024-03-06,103419.04,Bull-Trending
2024-03-07,103677.22,Bull-Trending
2024-03-08,103365.4,Bull-Trending
2024-03-11,103278.56,Bull-Trending
2024-03-12,103647.61,Bull-Trending
2024-03-13,103539.62,Bull-Trending
2024-03-14,103376.03,Bull-Trending
2024-03-15,103335.05,Bull-Trending
2024-03-18,103435.19,Bull-Trending
2024-03-19,103489.83,Bull-Trending
2024-03-20,103593.08,Bull-Trending
2024-03-21,103636.75,Bull-Trending
2024-03-22,103761.03,Bull-Trending
2024-03-25,103715.36,Bull-Trending
2024-03-26,103738.24,Bull-Trending
2024-03-27,103753.91,Bull-Trending
2024-03-28,103723.66,Bull-Trending
2024-04-01,103719.12,Bull-Trending
2024-04-02,103635.47,Bull-Trending
2024-04-03,103609.3,Bull-Trending
2024-04-04,103442.74,Bull-Trending
2024-04-05,103636.48,Bull-Trending
2024-04-09,103590.81,Bull-Trending
2024-04-10,103578.37,Bull-Trending
2024-04-11,103682.16,Bull-Trending
2024-04-12,103549.98,Bull-Trending
2024-04-15,103497.9,Bear-Trending
2024-04-16,103471.89,Bear-Trending
2024-04-17,103461.83,Bear-Trending
2024-04-18,103433.61,Bear-Trending
2024-04-19,103410.47,Bear-Trending
2024-04-22,103447.51,Bear-Trending
2024-04-23,103533.9,Bear-Trending
2024-04-24,103592.02,Bear-Trending
2024-04-25,103641.42,Bear-Trending
2024-04-26,103735.75,Bear-Trending
2024-04-29,103861.18,Bear-Trending
2024-04-30,103732.1,Bear-Trending
2024-05-01,103675.91,Bear-Trending
2024-05-02,103739.92,Bear-Trending
2024-05-03,103845.04,Bull-Trending
2024-05-06,103935.15,Bull-Trending
2024-05-07,103867.68,Bull-Trending
2024-05-08,103855.6,Bull-Trending
2024-05-09,103851.85,Bull-Trending
2024-05-10,103841.86,Bull-Trending
2024-05-13,103863.04,Bull-Trending
2024-05-14,103906.67,Bull-Trending
2024-05-15,103926.62,Bull-Trending
2024-05-16,103925.51,Bull-Trending
2024-05-17,103926.8,Bull-Trending
2024-05-20,103973.74,Bull-Trending
2024-05-21,104048.68,Bull-Trending
2024-05-22,104013.97,Bull-Trending
2024-05-23,104061.61,Bull-Trending
2024-05-24,104152.61,Bull-Trending
2024-05-28,104224.37,Bull-Trending
2024-05-29,104224.6,Bull-Trending
2024-05-30,104124.74,Bull-Trending
2024-05-31,104113.11,Bull-Trending
2024-06-03,104184.63,Bull-Trending
2024-06-04,104213.88,Bull-Trending
2024-06-05,104349.0,Bull-Trending
2024-06-06,104347.17,Bull-Trending
2024-06-07,104339.84,Bull-Trending
2024-06-11,104352.83,Bull-Trending
2024-06-12,104555.95,Bull-Trending
2024-06-13,104657.75,Bull-Trending
2024-06-14,104654.18,Bull-Trending
2024-06-17,104770.39,Bull-Trending
2024-06-18,104776.72,Bull-Trending
2024-06-20,104651.58,Bull-Trending
2024-06-21,104576.53,Bull-Trending
2024-06-24,104441.18,Bull-Trending
2024-06-25,104610.41,Bull-Trending
2024-06-26,104715.38,Bull-Trending
2024-06-27,104714.05,Bull-Trending
2024-06-28,104643.09,Bull-Trending
2024-07-01,104820.42,Bull-Trending
2024-07-02,105012.81,Bull-Trending
2024-07-03,105137.58,Bull-Trending
2024-07-05,105276.09,Bull-Trending
2024-07-08,105308.23,Bull-Trending
2024-07-09,105370.98,Bull-Trending
2024-07-10,105433.75,Bull-Trending
2024-07-11,105343.12,Bull-Trending
2024-07-12,105465.97,Bull-Trending
2024-07-15,105463.31,Bull-Trending
2024-07-16,105463.31,Bull-Trending
2024-07-17,105463.31,Bull-Trending
2024-07-18,105463.31,Bull-Trending
2024-07-19,105463.31,Bull-Trending
2024-07-22,105463.31,Bull-Trending
2024-07-23,105463.31,Bull-Trending
2024-07-24,105456.29,Bull-Trending
2024-07-25,105518.11,Bear-Trending
2024-07-26,105518.89,Bull-Trending
2024-07-29,105517.42,Bull-Trending
2024-07-30,105509.52,Bear-Trending
2024-07-31,105522.87,Bull-Trending
2024-08-01,105515.03,Bull-Trending
2024-08-02,105513.08,Bear-Trending
2024-08-05,105506.23,Bear-Trending
2024-08-06,105504.89,Bear-Trending
2024-08-07,105480.6,Bear-Trending
2024-08-08,105574.64,Bear-Trending
2024-08-09,105598.45,Bear-Trending
2024-08-12,105594.85,Bear-Trending
2024-08-13,105708.9,Bear-Trending
2024-08-14,105677.21,Bull-Trending
2024-08-15,105780.74,Bull-Trending
2024-08-16,105792.27,Bull-Trending
2024-08-19,105814.47,Bull-Trending
2024-08-20,105808.99,Bull-Trending
