date,ticker,action,proba,regime,weight,price,shares
2024-01-02,QQQ,BUY,0.6241,Bull-Trending,0.451,398.09,11.4693
2024-01-02,NVDA,BUY,0.6596,Bull-Trending,0.249,48.19,52.3021
2024-01-22,AAPL,SELL,0.4405,Bull-Trending,0.5,191.7,5.7503
2024-01-25,QQQ,SELL,0.4306,Bull-Trending,0.0235,420.74,11.4693
2024-01-29,AAPL,BUY,0.6033,Bull-Trending,0.027,189.95,1.449
2024-01-30,MSFT,SELL,0.3716,Bull-Trending,0.725,401.27,2.7375
2024-01-31,QQQ,BUY,0.7491,Bull-Trending,0.1,412.31,2.475
2024-01-31,MSFT,BUY,0.8203,Bull-Trending,0.2747,391.24,7.1644
2024-02-07,MSFT,SELL,0.3437,Bull-Trending,0.2088,406.63,7.1644
2024-02-13,QQQ,SELL,0.4363,Bull-Trending,0.1305,422.91,2.475
2024-02-23,QQQ,BUY,0.5956,Bull-Trending,0.1461,431.9,3.4859
2024-02-27,MSFT,BUY,0.5817,Bull-Trending,0.0993,401.72,2.5466
2024-03-21,QQQ,SELL,0.197,Bull-Trending,0.0966,440.59,3.4859
2024-03-21,MSFT,SELL,0.4326,Bull-Trending,0.262,422.46,2.5466
2024-03-22,MSFT,BUY,0.5893,Bull-Trending,0.3225,422.68,7.9067
2024-03-22,NVDA,SELL,0.3427,Bull-Trending,0.3766,94.14,52.3021
2024-03-25,MSFT,SELL,0.4133,Bull-Trending,0.4118,416.05,7.9067
2024-03-28,NVDA,BUY,0.556,Bull-Trending,0.3843,90.4,44.1131
2024-04-03,MSFT,BUY,0.7269,Bull-Trending,0.6917,414.51,17.295
2024-04-10,NVDA,SELL,0.2898,Bull-Trending,0.5858,86.9,44.1131
2024-04-12,MSFT,SELL,0.4093,Bull-Trending,0.6217,415.11,17.295
2024-04-19,QQQ,BUY,0.788,Bear-Trending,0.1,410.56,2.5194
2024-04-19,MSFT,BUY,0.8378,Bear-Trending,0.1,393.48,2.6287
2024-04-19,NVDA,BUY,0.5854,Bear-Trending,0.1,76.23,13.5681
2024-05-07,NVDA,SELL,0.2771,Bull-Trending,0.1689,90.41,13.5681
2024-05-15,QQQ,SELL,0.2465,Bull-Trending,0.2179,447.53,2.5194
2024-05-17,QQQ,BUY,0.6578,Bull-Trending,0.356,447.3,8.2702
2024-05-17,NVDA,BUY,0.6901,Bull-Trending,0.1,92.52,11.2329
2024-05-20,QQQ,SELL,0.3223,Bull-Trending,0.2515,449.52,8.2702
2024-05-23,QQQ,BUY,0.635,Bull-Trending,0.2798,449.18,6.4788
2024-05-24,QQQ,SELL,0.2554,Bull-Trending,0.2541,452.52,6.4788
2024-05-29,QQQ,BUY,0.8004,Bull-Trending,0.2335,451.93,5.3844
2024-05-30,TSLA,SELL,0.2978,Bull-Trending,0.5,178.61,4.8635
2024-06-04,AAPL,SELL,0.4247,Bull-Trending,0.2533,192.67,1.449
2024-06-05,TSLA,BUY,0.597,Bull-Trending,0.0794,175.17,4.7227
2024-06-11,AAPL,BUY,0.7093,Bull-Trending,0.2402,205.77,12.1784
2024-06-12,MSFT,SELL,0.4376,Bull-Trending,0.0387,434.74,2.6287
2024-06-18,QQQ,SELL,0.3652,Bull-Trending,0.3629,479.46,5.3844
2024-06-21,QQQ,BUY,0.583,Bull-Trending,0.3881,475.44,8.542
2024-06-28,MSFT,BUY,0.8067,Bull-Trending,0.1,441.43,2.3722
2024-06-28,NVDA,SELL,0.4346,Bull-Trending,0.1,123.36,11.2329
2024-07-05,MSFT,SELL,0.4146,Bull-Trending,0.2585,460.86,2.3722
2024-07-05,NVDA,BUY,0.608,Bull-Trending,0.0302,125.9,2.5214
2024-07-08,QQQ,SELL,0.1778,Bull-Trending,0.2418,492.23,8.542
2024-07-10,TSLA,SELL,0.4244,Bull-Trending,0.314,263.0,4.7227
2024-07-11,TSLA,BUY,0.5913,Bull-Trending,0.3,241.27,13.111
2024-07-12,TSLA,SELL,0.2491,Bull-Trending,0.3118,247.98,13.111
2024-07-12,AAPL,SELL,0.2968,Bull-Trending,0.6882,228.54,12.1784
2024-07-15,NVDA,SELL,0.1899,Bull-Trending,0.1,128.25,2.5214
2024-07-24,TSLA,BUY,0.5783,Bull-Trending,0.333,216.21,16.244
2024-07-25,TSLA,SELL,0.3413,Bear-Trending,0.4983,220.03,16.244
2024-07-25,NVDA,BUY,0.5873,Bear-Trending,0.0107,112.34,1.0049
2024-08-06,QQQ,BUY,0.7686,Bear-Trending,0.1119,435.88,2.7097
2024-08-06,MSFT,BUY,0.6342,Bear-Trending,0.1324,394.67,3.5393
2024-08-07,TSLA,BUY,0.5875,Bear-Trending,0.096,191.95,5.2779
2024-08-13,MSFT,SELL,0.4409,Bear-Trending,0.0516,408.08,3.5393
2024-08-16,TSLA,SELL,0.3992,Bull-Trending,0.0615,215.9,5.2779
2024-08-22,QQQ,SELL,0.1558,Bull-Trending,0.1295,469.97,2.7097
2024-08-28,NVDA,SELL,0.3873,Bull-Trending,0.6123,125.42,1.0049
2024-09-04,MSFT,BUY,0.7524,Bull-Trending,0.1901,404.58,4.9712
2024-09-09,TSLA,BUY,0.6142,Bear-Trending,0.2519,216.49,12.3038
2024-09-10,TSLA,SELL,0.2706,Bear-Trending,0.3357,225.94,12.3038
2024-09-11,MSFT,SELL,0.4071,Bull-Trending,0.3157,417.73,4.9712
2024-09-12,TSLA,BUY,0.6632,Bull-Trending,0.4133,230.04,19.0361
2024-09-16,AAPL,BUY,0.6496,Bull-Trending,0.1,215.12,4.9257
2024-09-18,NVDA,BUY,0.5946,Bull-Trending,0.1,113.44,9.3369
2024-09-23,MSFT,BUY,0.7062,Bull-Trending,0.4947,428.93,12.2474
2024-10-03,QQQ,BUY,0.6101,Bull-Trending,0.3284,478.26,7.292
2024-10-10,NVDA,SELL,0.4352,Bull-Trending,0.371,134.62,9.3369
2024-10-14,TSLA,SELL,0.4403,Bull-Trending,0.1,218.94,19.0361
